# Turbine STATIC efficiency vs blade-jet speed ratio nu, argon rig.
# NASA TN D-5090 (1969) Figure 11a (total-to-static). All speed lines collapse to one nu curve.
# Source: user MANUAL WebPlotDigitizer reads (data/manual_digitize/), 2026-06-16 -
#   geometric marker-center digitization, axis-calibrated to the figure gridlines.
#   Supersedes the earlier Claude pixel reads (had a systematic flow-axis scale error);
#   regenerate via scripts/ingest_manual_digitize.py. Design dots used as axis sanity checks.
# speed_pct, nu, eta_ts
speed_pct,nu,eta_ts
30,0.18258,0.34331
30,0.19529,0.36204
30,0.20232,0.37548
30,0.21264,0.39421
30,0.22437,0.41629
30,0.24036,0.44126
50,0.30523,0.54737
50,0.32973,0.58003
50,0.34053,0.59971
50,0.35702,0.62181
50,0.38056,0.65638
50,0.40612,0.67705
70,0.43056,0.71738
70,0.46176,0.74813
70,0.48019,0.76687
70,0.50476,0.79186
70,0.53558,0.81157
70,0.56736,0.83034
90,0.55470,0.80489
90,0.59624,0.85341
90,0.61999,0.86353
90,0.65089,0.87269
90,0.69045,0.87468
90,0.73099,0.87284
100,0.62057,0.85154
100,0.66192,0.86552
100,0.69048,0.87133
100,0.72383,0.87330
100,0.74632,0.86423
100,0.81620,0.83270
110,0.69053,0.86557
110,0.74912,0.87095
110,0.79355,0.86096
110,0.83823,0.82123
