NcMap,betaMap,WcMap,PRmap,effMap
0.5,0.0,0.2531497418244406,1.22621,0.75879
0.5,0.1,0.2848967297762478,1.2257929033570079,0.800416760229463
0.5,0.2,0.3166437177280551,1.2247593851188912,0.8227602921654404
0.5,0.30000000000000004,0.34839070567986236,1.221261653712178,0.8264286856832344
0.5,0.4,0.38013769363166955,1.2145724826212505,0.8285265908445593
0.5,0.5,0.4118846815834768,1.206428717191693,0.8275471192177702
0.5,0.6000000000000001,0.4436316695352841,1.1950238918814318,0.797413445836287
0.5,0.7000000000000001,0.4753786574870912,1.1789069095063092,0.753057349832826
0.5,0.8,0.5071256454388985,1.156763650636397,0.6859350747555157
0.5,0.9,0.5388726333907057,1.1261548008572153,0.5821675999985939
0.5,1.0,0.570619621342513,1.07904,0.39351
0.6,0.0,0.29161790017211703,1.33612,0.74061
0.6,0.1,0.3310258175559381,1.3362135151127115,0.7715878892400987
0.6,0.2,0.37043373493975906,1.3345749708860528,0.7967445942492641
0.6,0.30000000000000004,0.40984165232358005,1.3309301892686443,0.8146944728965668
0.6,0.4,0.4492495697074011,1.3241470021011876,0.8215128926415597
0.6,0.5,0.48865748709122203,1.312620701415119,0.8228775609168194
0.6,0.6000000000000001,0.5280654044750431,1.2964336711255005,0.8028149404021013
0.6,0.7000000000000001,0.5674733218588641,1.2752486163141792,0.7679520012886674
0.6,0.8,0.6068812392426851,1.2452551678429176,0.7030946795334708
0.6,0.9,0.6462891566265061,1.2000866358813154,0.5932291584815631
0.6,1.0,0.6856970740103271,1.13664,0.44298
0.7,0.0,0.4108777969018933,1.46376,0.7715
0.7,0.1,0.44699827882960413,1.4597758388672901,0.7927599767340374
0.7,0.2,0.483118760757315,1.456465914043519,0.8088188774188542
0.7,0.30000000000000004,0.5192392426850259,1.4543313207695536,0.8203330394318233
0.7,0.4,0.5553597246127367,1.4520713784320085,0.827397105613103
0.7,0.5,0.5914802065404475,1.4408126156345982,0.824573622221312
0.7,0.6000000000000001,0.6276006884681583,1.4203716691558135,0.8149214515532325
0.7,0.7000000000000001,0.6637211703958693,1.3955303700695658,0.7877488913778468
0.7,0.8,0.69984165232358,1.3609090446013123,0.741535752168229
0.7,0.9,0.7359621342512909,1.313701489325609,0.6699831812369151
0.7,1.0,0.7720826161790018,1.25941,0.58009
0.8,0.0,0.48497418244406204,1.61992,0.76967
0.8,0.1,0.5273803786574871,1.6182262583333973,0.7961997358093265
0.8,0.2,0.5697865748709122,1.6169170689406083,0.8133672599160068
0.8,0.30000000000000004,0.6121927710843373,1.6135703341857124,0.8234242071586937
0.8,0.4,0.6545989672977626,1.6001856125350897,0.8287608500126208
0.8,0.5,0.6970051635111877,1.5801311568705185,0.8229546103074096
0.8,0.6000000000000001,0.7394113597246128,1.554410135248065,0.8077686453773095
0.8,0.7000000000000001,0.7818175559380379,1.5216381928472609,0.7794900476885486
0.8,0.8,0.824223752151463,1.474171280023015,0.7286332871602121
0.8,0.9,0.8666299483648882,1.4040229852790083,0.6480451896642023
0.8,1.0,0.9090361445783133,1.29797,0.50078
0.9,0.0,0.6070567986230637,1.81123,0.78021
0.9,0.1,0.6465886402753873,1.811189531306225,0.8050454456594335
0.9,0.2,0.6861204819277109,1.8097706751402103,0.8204231264727967
0.9,0.30000000000000004,0.7256523235800345,1.8058905375076497,0.8234882902917522
0.9,0.4,0.7651841652323581,1.7909934801376328,0.8234683339194621
0.9,0.5,0.8047160068846817,1.7699687783430649,0.8234210652341343
0.9,0.6000000000000001,0.8442478485370053,1.7432862147532115,0.8128669680705233
0.9,0.7000000000000001,0.8837796901893289,1.7077054008027177,0.793782928664999
0.9,0.8,0.9233115318416525,1.65945039943665,0.7639084147288113
0.9,0.9,0.962843373493976,1.5923960046689936,0.7152196309761196
0.9,1.0,1.0023752151462995,1.50193,0.63169
1.0,0.0,0.7606368330464717,2.02649,0.80089
1.0,0.1,0.8001497418244407,2.0178393582820693,0.813032868913937
1.0,0.2,0.8396626506024097,2.0046285258091885,0.8185621449308864
1.0,0.30000000000000004,0.8791755593803788,1.988024356425706,0.8207977631769996
1.0,0.4,0.9186884681583477,1.968430165368447,0.8211222235279526
1.0,0.5,0.9582013769363167,1.9400542223167996,0.8140655970845199
1.0,0.6000000000000001,0.9977142857142858,1.9136837912395464,0.7995302751284677
1.0,0.7000000000000001,1.0372271944922546,1.8811840451135222,0.7798425487243493
1.0,0.8,1.0767401032702237,1.8244085441525495,0.7474073810895663
1.0,0.9,1.1162530120481928,1.7170635877998726,0.6767758389695487
1.0,1.0,1.155765920826162,1.55485,0.54883
