RNI,Re,s_effRe,s_WpRe,lossDeficitS,eta_t
0.3,22860.0,0.9585450494277317,1.0,1.4350387341664474,0.8751516301275191
0.3699,28186.38,0.9668730580276094,1.0,1.3476425059861228,0.8827551019792074
0.456,34747.200000000004,0.9746869988580523,1.0,1.2656410349723937,0.8898892299574018
0.5621,42832.020000000004,0.9820229906931919,1.0,1.1886552815760427,0.8965869905028843
0.693,52806.6,0.9889179629463253,1.0,1.1162976991954596,0.902882100169995
0.8544,65105.280000000006,0.9953937908495248,1.0,1.0483387236136064,0.9087945310456162
1.0,76200.0,1.0,1.0,1.0,0.913
1.0534,80269.07999999999,1.0008881468829611,1.0,0.9906795620213392,0.9138108781041435
1.2986,98953.31999999999,1.0043778978707967,1.0,0.954057232689225,0.9169970207560374
1.601,121996.2,1.0077398719325381,1.0,0.918775826730951,0.9200665030744073
1.9738,150403.56,1.0109773748958994,1.0,0.8848006519545275,0.9230223432799561
2.4334,185425.08,1.01409511015196,1.0,0.8520823497846043,0.9258688355687394
3.0,228600.0,1.0170974727644937,1.0,0.8205747973105443,0.9286099926339827
